Employee_ID,Age,Gender,Department,Job_Role,Education,Marital_Status,Business_Travel,Distance_From_Home,Monthly_Income,Bonus,Overtime,Job_Satisfaction,Environment_Satisfaction,Relationship_Satisfaction,Work_Life_Balance,Performance_Rating,Training_Times_Last_Year,Percent_Salary_Hike,Years_at_Company,Years_in_Current_Role,Years_Since_Last_Promotion,Total_Working_Years,Projects_Completed,Absenteeism_Days,Remote_Work,Manager_Rating,Attrition
100038,56,Male,HR,Specialist,PhD,Divorced,Frequently,6.0,9124.0,2418,Yes,4.0,2,4,1,3,3,17,10,8,1,27,13,9,No,4,No
100039,57,Male,IT,Manager,Master,Married,Rarely,13.0,10153.0,2561,No,3.0,2,2,2,4,5,13,11,10,7,32,1,3,Yes,5,No
100040,35,Male,HR,Manager,Master,Married,Non-Travel,9.0,3846.0,6848,Yes,3.0,1,1,2,3,5,21,5,1,0,7,6,10,Yes,2,No
100041,34,Male,Marketing,Analyst,Master,Single,Frequently,18.0,5755.0,4460,No,2.0,1,4,1,3,0,22,0,0,0,9,11,5,No,4,No
100042,47,Female,R&D,Analyst,Diploma,Divorced,Rarely,13.0,9260.0,6464,No,4.0,4,2,1,3,0,23,21,2,6,22,2,2,No,4,No
100043,50,Male,IT,Manager,Diploma,Single,Non-Travel,6.0,8404.0,1049,Yes,1.0,1,4,2,4,3,16,4,2,1,27,14,1,No,4,No
100044,24,Male,Customer Support,Executive,Master,Single,Frequently,17.0,3756.0,1781,No,2.0,4,3,2,5,0,14,0,0,0,0,1,17,Yes,4,No
100045,28,Female,Operations,Specialist,PhD,Single,Rarely,1.0,4706.0,5569,No,3.0,4,4,4,3,1,24,1,1,0,1,13,15,No,2,No
100046,25,Male,Sales,Associate,Master,Single,Non-Travel,11.0,4605.0,6870,No,3.0,1,1,1,4,6,22,1,0,0,2,14,2,Yes,3,No
100047,29,Female,Customer Support,Executive,Diploma,Divorced,Frequently,7.0,4820.0,5348,Yes,2.0,3,2,1,3,2,21,1,0,0,1,3,12,Yes,4,No
100048,41,Male,Marketing,Engineer,PhD,Divorced,Frequently,9.0,7035.0,3578,No,1.0,3,2,1,3,2,20,2,0,1,14,4,5,Yes,4,No
100049,54,Female,R&D,Engineer,Diploma,Single,Rarely,16.0,9387.0,2361,No,3.0,1,1,1,3,0,10,9,9,5,29,5,3,No,3,No
100050,47,Male,Finance,Associate,Master,Married,Rarely,3.0,8885.0,5728,Yes,2.0,2,3,3,5,3,18,18,0,0,22,11,17,No,5,No
100051,59,Male,R&D,Executive,Master,Single,Rarely,30.0,8880.0,6880,No,2.0,1,1,2,3,4,16,23,2,6,30,4,16,No,3,Yes
100052,53,Female,Customer Support,Analyst,PhD,Single,Rarely,4.0,8286.0,2641,No,1.0,2,1,4,5,0,20,2,2,2,28,14,8,Yes,4,No
100053,56,Male,IT,Manager,Master,Divorced,Rarely,6.0,8829.0,6612,No,3.0,3,2,3,3,3,20,21,9,3,29,7,20,No,5,No
100054,54,Male,IT,Executive,Bachelor,Single,Rarely,4.0,10963.0,5595,No,2.0,2,3,3,3,1,10,0,0,0,33,3,20,Yes,2,No
100055,23,Male,Sales,Analyst,Bachelor,Divorced,Non-Travel,10.0,3329.0,4408,No,1.0,1,2,4,3,0,16,1,1,1,1,6,13,No,2,No
100056,43,Female,Sales,Specialist,Bachelor,Married,Non-Travel,25.0,8123.0,1305,Yes,3.0,3,4,3,5,5,11,9,8,3,18,12,2,No,3,No
100057,48,Female,IT,Specialist,Diploma,Divorced,Frequently,19.0,9464.0,1801,No,3.0,3,2,1,3,5,17,16,7,2,27,2,20,Yes,5,No
100058,56,Male,R&D,Associate,Bachelor,Married,Rarely,10.0,11196.0,2656,No,3.0,4,2,1,4,3,17,20,7,2,34,9,19,Yes,4,No
100059,58,Female,Finance,Executive,Diploma,Married,Non-Travel,29.0,11037.0,6206,Yes,4.0,2,2,3,3,2,19,16,9,2,32,12,4,Yes,4,No
100060,59,Male,IT,Associate,Bachelor,Single,Frequently,5.0,9759.0,1715,Yes,2.0,3,3,3,3,3,18,11,3,1,30,11,3,No,3,No
100061,45,Female,Customer Support,Analyst,Master,Married,Non-Travel,24.0,7889.0,3815,Yes,4.0,1,2,4,3,6,23,1,1,0,17,11,20,Yes,3,No
100062,28,Male,Marketing,Specialist,PhD,Married,Rarely,20.0,3092.0,7533,No,3.0,4,2,1,4,5,20,0,0,0,0,14,15,Yes,2,No
100063,37,Male,Customer Support,Engineer,Bachelor,Divorced,Frequently,17.0,6213.0,3308,Yes,2.0,4,4,3,3,1,15,3,3,0,8,12,19,No,2,Yes
100064,37,Female,Marketing,Analyst,Master,Married,Non-Travel,13.0,6454.0,4817,No,1.0,2,4,1,3,3,16,6,1,1,12,15,2,Yes,5,No
100065,56,Female,Operations,Executive,Diploma,Divorced,Frequently,22.0,11385.0,2577,No,4.0,4,2,4,3,3,10,4,2,2,32,4,20,No,4,No
100066,51,Male,HR,Engineer,Diploma,Single,Non-Travel,27.0,8401.0,3327,No,1.0,1,1,3,3,1,12,13,10,4,23,5,19,Yes,3,No
100067,35,Male,HR,Associate,Diploma,Single,Frequently,23.0,6388.0,2245,No,3.0,1,4,2,3,5,13,12,8,1,12,5,13,Yes,3,No
100068,51,Female,IT,Engineer,Bachelor,Single,Frequently,15.0,10028.0,6200,Yes,4.0,4,3,4,3,6,24,17,5,6,23,7,2,Yes,4,No
100069,22,Female,IT,Manager,Bachelor,Divorced,Frequently,11.0,2911.0,4387,No,1.0,2,3,4,4,3,20,0,0,0,1,9,1,No,4,Yes
100070,43,Male,Operations,Executive,Diploma,Divorced,Frequently,5.0,8081.0,5304,No,3.0,1,1,3,3,3,22,12,8,0,15,7,9,Yes,2,No
100071,23,Male,Finance,Analyst,PhD,Divorced,Rarely,4.0,2702.0,5936,No,1.0,2,1,4,5,3,13,0,0,0,0,14,4,No,4,No
100072,40,Male,Customer Support,Engineer,Bachelor,Single,Frequently,19.0,8159.0,6199,Yes,3.0,4,4,1,4,0,10,13,10,6,17,10,18,Yes,5,No
100073,47,Male,Sales,Associate,Bachelor,Single,Rarely,28.0,8627.0,1494,Yes,4.0,2,4,2,3,0,18,3,1,3,18,12,5,Yes,4,Yes
100074,30,Male,Sales,Analyst,Bachelor,Married,Frequently,10.0,4075.0,6475,No,4.0,2,4,4,3,4,11,4,2,2,8,10,14,No,3,No
100075,30,Female,Marketing,Manager,Bachelor,Divorced,Non-Travel,23.0,5714.0,7069,Yes,4.0,3,1,4,4,6,14,5,4,2,8,10,13,Yes,5,No
100076,45,Male,Sales,Manager,Master,Divorced,Rarely,9.0,7137.0,7472,No,3.0,4,3,1,3,4,12,7,7,6,18,4,7,No,2,No
100077,46,Female,HR,Executive,PhD,Divorced,Non-Travel,29.0,8274.0,2626,No,1.0,3,4,4,4,4,16,6,1,1,18,4,2,Yes,4,No
100078,44,Male,Operations,Associate,PhD,Single,Rarely,11.0,8080.0,5392,No,2.0,1,3,2,3,2,10,12,1,0,18,4,18,No,3,No
100079,37,Male,R&D,Analyst,Bachelor,Single,Rarely,18.0,4895.0,3528,Yes,4.0,4,4,2,3,6,12,6,6,4,12,11,12,Yes,2,No
100080,37,Female,Finance,Associate,Master,Single,Rarely,9.0,6356.0,3383,No,1.0,1,1,4,3,6,11,9,4,8,11,12,20,No,2,No
100081,27,Male,Customer Support,Manager,Diploma,Married,Frequently,4.0,5402.0,3571,Yes,2.0,4,4,3,5,1,24,2,0,0,4,15,0,No,3,Yes
100082,23,Female,Sales,Associate,Bachelor,Married,Frequently,11.0,2497.0,7242,Yes,3.0,2,4,2,4,0,21,0,0,0,0,4,1,Yes,5,No
100083,56,Female,Marketing,Manager,Master,Married,Frequently,4.0,10370.0,3105,Yes,3.0,4,4,4,4,0,14,14,8,0,33,11,6,No,4,No
100084,28,Female,R&D,Executive,Bachelor,Divorced,Frequently,5.0,3735.0,5741,No,4.0,1,4,3,3,6,20,1,0,1,3,1,16,No,3,No
100085,44,Male,Finance,Associate,Master,Single,Non-Travel,3.0,6580.0,7290,No,2.0,1,4,3,5,6,18,1,0,0,17,3,19,Yes,4,No
100086,33,Female,HR,Analyst,PhD,Married,Rarely,28.0,6163.0,5951,No,4.0,3,2,1,5,1,21,1,0,0,12,12,11,Yes,4,No
100087,54,Female,Sales,Manager,Bachelor,Divorced,Frequently,15.0,9134.0,4705,Yes,1.0,1,2,3,3,0,17,16,1,3,26,10,5,Yes,2,No
100088,40,Female,Finance,Associate,PhD,Single,Frequently,28.0,5472.0,1269,Yes,1.0,2,1,2,3,2,13,0,0,0,15,10,16,No,2,No
100089,28,Male,Sales,Associate,PhD,Divorced,Frequently,20.0,6159.0,7379,Yes,2.0,1,4,2,3,0,21,3,2,3,6,4,10,No,4,No
100090,46,Male,Operations,Analyst,Master,Single,Frequently,14.0,7569.0,2144,No,2.0,1,2,3,3,1,23,1,1,1,17,11,1,Yes,2,No
100091,60,Male,R&D,Executive,Bachelor,Married,Rarely,10.0,10211.0,3347,No,3.0,2,1,1,5,0,18,21,1,7,35,10,17,Yes,5,No
100092,28,Female,Customer Support,Engineer,Master,Divorced,Frequently,7.0,3096.0,4993,No,4.0,3,4,3,3,4,19,0,0,0,0,14,9,Yes,3,No
100093,42,Male,Operations,Engineer,Diploma,Married,Frequently,10.0,7504.0,7695,No,4.0,2,3,4,3,0,10,6,1,4,18,2,19,No,5,No
100094,24,Male,R&D,Manager,Diploma,Single,Non-Travel,7.0,3022.0,5548,No,3.0,3,1,1,5,5,25,0,0,0,0,7,3,Yes,5,No
100095,56,Female,Customer Support,Associate,PhD,Married,Non-Travel,12.0,12125.0,2899,No,2.0,3,4,4,3,4,22,15,10,5,34,1,15,No,5,No
100096,40,Male,Operations,Manager,Master,Married,Rarely,14.0,7384.0,7801,No,2.0,1,1,4,5,0,18,17,9,7,17,5,17,No,5,No
100097,54,Female,Customer Support,Analyst,Bachelor,Divorced,Rarely,4.0,7766.0,3854,No,4.0,3,4,4,3,5,14,23,3,6,25,8,12,No,4,No
100098,54,Male,Marketing,Associate,Diploma,Divorced,Frequently,21.0,10412.0,1781,No,3.0,3,2,3,3,4,16,5,3,1,32,1,20,Yes,4,No
100099,57,Female,R&D,Analyst,Bachelor,Divorced,Rarely,7.0,12849.0,1935,No,1.0,4,3,1,3,6,14,22,9,3,36,7,19,Yes,3,No
100100,31,Female,R&D,Analyst,Bachelor,Divorced,Non-Travel,11.0,3238.0,1679,Yes,1.0,2,3,1,3,2,15,2,0,1,2,11,3,Yes,4,No
100101,33,Male,Customer Support,Analyst,Master,Single,Rarely,2.0,4821.0,1805,No,1.0,2,3,1,3,0,24,4,2,3,5,10,8,No,2,No
100102,36,Male,HR,Executive,Master,Married,Frequently,6.0,6064.0,562,No,4.0,3,4,3,4,4,21,9,1,5,9,9,12,No,5,Yes
100103,25,Male,R&D,Analyst,Diploma,Divorced,Rarely,11.0,4672.0,7093,No,2.0,2,2,4,3,5,14,3,0,1,3,5,17,Yes,5,No
100104,50,Male,Marketing,Specialist,Master,Single,Frequently,22.0,9363.0,1572,No,3.0,3,4,2,4,4,21,5,4,1,26,7,19,Yes,3,No
100105,28,Male,Marketing,Analyst,PhD,Divorced,Rarely,23.0,4793.0,1950,No,3.0,2,3,4,3,1,13,0,0,0,0,13,16,No,3,No
100106,25,Female,IT,Manager,Master,Single,Frequently,22.0,3256.0,7048,No,3.0,3,4,2,4,0,24,0,0,0,0,6,20,Yes,3,No
100107,39,Female,Finance,Manager,Master,Married,Non-Travel,,,5024,No,,3,2,1,4,4,17,8,7,8,17,5,13,No,2,No
100108,28,Male,Operations,Associate,Bachelor,Married,Non-Travel,24.0,2912.0,3724,No,1.0,2,3,2,3,4,12,0,0,0,3,8,10,No,2,No
100109,34,Male,Finance,Engineer,Diploma,Single,Rarely,6.0,4709.0,3431,No,2.0,3,4,1,5,0,16,2,2,1,7,3,4,No,5,No
100110,36,Male,Finance,Manager,Bachelor,Divorced,Frequently,25.0,7599.0,1886,No,4.0,2,4,2,3,6,22,0,0,0,12,12,9,Yes,4,No
100111,52,Female,HR,Executive,Diploma,Married,Frequently,19.0,8712.0,3473,Yes,3.0,3,2,3,3,4,12,1,0,0,28,8,15,Yes,4,No
100112,57,Female,HR,Associate,Diploma,Divorced,Non-Travel,30.0,11364.0,6485,No,4.0,3,2,4,3,0,14,3,0,0,32,13,12,Yes,4,No
100113,44,Male,Operations,Manager,Master,Married,Rarely,18.0,9246.0,3525,No,2.0,3,2,1,3,0,11,20,1,6,21,15,1,Yes,5,No
100114,48,Female,HR,Analyst,PhD,Married,Rarely,7.0,7170.0,6422,No,1.0,3,1,2,3,0,23,5,1,2,20,2,1,No,4,No
100115,25,Female,Finance,Specialist,Bachelor,Divorced,Frequently,17.0,2117.0,4272,Yes,2.0,4,2,4,3,3,12,0,0,0,0,10,9,No,4,Yes
100116,51,Male,IT,Associate,Diploma,Divorced,Non-Travel,14.0,11039.0,3449,No,1.0,2,4,2,3,3,18,9,1,3,28,3,6,Yes,3,No
100117,37,Male,HR,Specialist,Bachelor,Married,Rarely,28.0,7669.0,4621,No,3.0,1,1,4,3,3,22,6,4,1,15,4,18,No,2,No
100118,29,Male,Customer Support,Manager,Bachelor,Divorced,Rarely,14.0,2930.0,7942,No,2.0,1,2,1,3,4,13,0,0,0,3,6,10,Yes,4,Yes
100119,28,Female,Operations,Engineer,Bachelor,Single,Non-Travel,8.0,5453.0,2585,No,3.0,3,2,4,3,5,24,2,0,2,4,8,3,Yes,5,No
100120,28,Female,IT,Engineer,Diploma,Divorced,Non-Travel,25.0,4607.0,7120,No,2.0,3,4,2,5,0,10,6,2,1,6,8,16,No,2,No
100121,23,Female,Finance,Engineer,Bachelor,Married,Frequently,17.0,5158.0,2272,No,4.0,3,2,4,3,4,11,0,0,0,1,14,11,No,4,No
100122,57,Male,Sales,Executive,PhD,Divorced,Rarely,21.0,10852.0,1694,No,3.0,2,3,1,3,3,18,12,1,8,29,5,11,Yes,2,No
100123,56,Male,HR,Manager,Diploma,Divorced,Frequently,17.0,10555.0,7489,No,1.0,2,3,3,3,6,22,6,2,0,34,12,10,No,5,No
100124,53,Female,R&D,Specialist,PhD,Divorced,Frequently,30.0,8881.0,1883,No,3.0,1,2,2,3,2,19,7,4,5,27,2,6,Yes,3,Yes
100125,40,Female,Marketing,Engineer,Bachelor,Single,Non-Travel,9.0,6487.0,2440,No,4.0,1,2,1,4,0,22,7,7,3,14,15,19,No,2,No
100126,33,Male,Sales,Executive,Diploma,Divorced,Non-Travel,29.0,6437.0,622,Yes,1.0,3,1,1,3,1,20,0,0,0,9,11,15,No,4,Yes
100127,32,Female,Sales,Analyst,Diploma,Divorced,Non-Travel,11.0,6968.0,958,Yes,1.0,4,3,3,4,1,12,6,0,1,11,4,4,Yes,4,No
100128,44,Female,Sales,Associate,Diploma,Divorced,Non-Travel,23.0,8374.0,4212,No,2.0,3,3,3,3,4,18,11,2,4,17,1,17,No,2,No
100129,44,Male,Finance,Engineer,Master,Married,Non-Travel,12.0,9278.0,6542,No,4.0,2,2,1,3,6,15,20,8,0,21,6,7,No,5,No
100130,34,Male,HR,Associate,PhD,Divorced,Frequently,2.0,4301.0,2368,No,2.0,4,4,3,3,3,17,6,0,2,8,1,8,No,3,No
100131,35,Male,Customer Support,Manager,Master,Married,Frequently,3.0,6122.0,3215,No,4.0,1,4,3,3,6,17,3,1,2,9,11,19,No,3,No
100132,58,Male,Marketing,Associate,Bachelor,Single,Rarely,30.0,10986.0,577,No,3.0,2,3,1,4,1,21,25,1,2,37,8,12,Yes,5,No
100133,42,Male,R&D,Associate,Bachelor,Divorced,Rarely,2.0,5555.0,7823,Yes,2.0,3,1,2,3,0,13,10,7,2,15,9,13,Yes,3,No
100134,35,Male,Finance,Associate,Bachelor,Married,Non-Travel,6.0,3736.0,624,No,1.0,3,3,3,4,0,11,1,0,0,6,7,17,No,4,No
100135,21,Female,R&D,Specialist,Master,Married,Frequently,29.0,3200.0,3858,No,3.0,2,1,3,4,1,18,0,0,0,0,14,6,Yes,2,No
100136,60,Female,Sales,Specialist,PhD,Divorced,Frequently,19.0,12928.0,4974,Yes,4.0,4,2,3,4,6,22,22,5,1,39,7,16,No,4,No
100137,25,Female,Finance,Executive,Bachelor,Divorced,Frequently,17.0,3524.0,2178,No,3.0,2,3,3,4,1,15,0,0,0,0,3,20,Yes,4,No
100138,45,Female,Marketing,Specialist,Bachelor,Married,Frequently,10.0,7816.0,4155,Yes,4.0,1,4,2,3,5,25,13,2,8,19,3,0,Yes,4,No
100139,52,Male,Sales,Engineer,Diploma,Single,Non-Travel,6.0,8195.0,3011,No,3.0,3,3,3,4,2,17,21,4,7,23,2,16,No,2,Yes
100140,33,Female,R&D,Specialist,Diploma,Married,Rarely,13.0,5838.0,7460,No,3.0,2,2,1,4,6,21,6,0,5,10,4,10,Yes,2,No
100141,49,Female,Customer Support,Associate,PhD,Married,Frequently,6.0,7381.0,7793,No,4.0,1,4,4,3,3,25,12,2,8,22,13,0,Yes,3,No
100142,46,Male,Sales,Analyst,PhD,Single,Rarely,19.0,6323.0,4221,No,3.0,1,2,4,4,5,20,1,1,0,17,9,13,Yes,5,No
100143,24,Female,HR,Manager,PhD,Married,Non-Travel,28.0,4527.0,2947,No,2.0,4,4,1,3,5,11,1,1,1,1,4,12,No,4,No
100144,40,Male,Operations,Manager,Master,Married,Non-Travel,18.0,8308.0,5938,Yes,2.0,1,3,3,4,0,12,4,3,4,16,14,10,Yes,4,Yes
100145,35,Male,Sales,Executive,PhD,Divorced,Rarely,2.0,5462.0,1622,No,2.0,1,4,4,4,1,10,4,4,1,7,8,7,No,3,No
100146,55,Male,R&D,Executive,Diploma,Divorced,Frequently,22.0,9965.0,3978,No,1.0,2,1,4,3,5,14,4,0,1,32,14,14,No,3,No
100147,58,Male,IT,Associate,Master,Married,Rarely,11.0,10468.0,3612,No,2.0,2,3,3,3,1,12,22,3,7,32,3,5,No,4,No
100148,46,Female,Operations,Analyst,PhD,Single,Rarely,16.0,9535.0,2793,No,1.0,3,1,2,5,1,14,1,1,1,24,13,7,No,2,Yes
100149,58,Female,Customer Support,Specialist,Master,Married,Non-Travel,12.0,10225.0,1965,No,2.0,1,3,2,3,6,12,0,0,0,36,12,17,Yes,3,No
100150,59,Male,R&D,Engineer,Diploma,Single,Frequently,24.0,11512.0,5932,Yes,1.0,2,3,1,5,1,12,14,5,0,32,14,20,No,4,No
100151,30,Male,Operations,Specialist,Master,Single,Non-Travel,18.0,5232.0,844,Yes,2.0,3,3,1,3,1,19,0,0,0,5,3,7,Yes,2,Yes
100152,21,Female,Sales,Specialist,PhD,Divorced,Non-Travel,4.0,2801.0,2891,No,2.0,1,1,2,3,5,16,0,0,0,0,10,16,Yes,3,No
100153,25,Female,IT,Analyst,Diploma,Married,Frequently,2.0,3501.0,1221,Yes,2.0,2,2,2,3,5,15,0,0,0,0,13,4,Yes,3,Yes
100154,35,Male,HR,Executive,Bachelor,Married,Frequently,3.0,6232.0,5832,Yes,4.0,3,2,1,4,6,25,1,1,0,9,5,9,Yes,5,No
100155,58,Male,Finance,Executive,PhD,Divorced,Rarely,29.0,10832.0,4535,No,3.0,1,4,1,3,5,22,13,10,5,35,14,12,No,2,No
100156,35,Male,Customer Support,Specialist,PhD,Divorced,Frequently,15.0,6083.0,1694,No,3.0,3,2,1,3,0,21,9,6,7,9,10,1,No,4,No
100157,26,Male,R&D,Executive,PhD,Married,Frequently,5.0,3206.0,3468,No,4.0,2,2,2,3,2,22,0,0,0,1,6,16,Yes,3,No
100158,46,Female,HR,Engineer,PhD,Single,Frequently,22.0,7701.0,3908,Yes,2.0,1,3,1,3,3,18,0,0,0,17,5,20,No,2,No
100159,52,Male,Customer Support,Analyst,Diploma,Married,Rarely,1.0,8924.0,7802,Yes,1.0,3,2,1,5,1,11,11,6,2,24,12,18,No,3,No
100160,39,Female,Marketing,Manager,Master,Divorced,Frequently,27.0,6319.0,895,No,4.0,3,2,1,4,1,11,0,0,0,10,12,16,Yes,4,No
100161,24,Female,Customer Support,Specialist,Bachelor,Divorced,Frequently,12.0,4044.0,3727,No,2.0,3,4,3,3,6,25,0,0,0,0,4,19,No,5,No
100162,31,Male,Marketing,Specialist,Diploma,Divorced,Frequently,17.0,5946.0,7143,Yes,3.0,3,1,4,5,2,24,0,0,0,5,9,18,No,4,No
100163,59,Male,Marketing,Executive,Master,Divorced,Non-Travel,24.0,12137.0,6168,No,1.0,1,4,1,5,3,20,8,6,6,33,8,10,No,3,No
100164,30,Female,HR,Engineer,Bachelor,Divorced,Non-Travel,8.0,5113.0,5233,No,2.0,4,4,2,3,1,18,1,0,0,1,4,7,Yes,4,Yes
100165,23,Female,Finance,Executive,Diploma,Single,Frequently,22.0,4571.0,5161,Yes,4.0,1,3,3,3,0,12,0,0,0,0,4,0,No,3,No
100166,49,Male,Customer Support,Executive,Diploma,Divorced,Frequently,11.0,9583.0,4847,Yes,4.0,2,2,1,3,4,16,16,4,8,24,12,0,Yes,3,No
100167,22,Female,R&D,Engineer,PhD,Single,Non-Travel,28.0,2466.0,7723,No,3.0,1,3,1,3,4,20,0,0,0,0,11,15,Yes,5,No
100168,50,Male,HR,Associate,Bachelor,Married,Rarely,26.0,7618.0,6265,No,2.0,2,3,1,4,1,19,6,5,6,22,1,19,Yes,2,No
